max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.2,2020,arriesgado,0.9701044000332953,0.0,0.2464,0.2673,0.9221,0.2168,12,False,10429.82,1.0,0.0
0.2,2020,muy_arriesgado,0.9998576810004685,0.0,0.4727,0.3108,1.5208,0.1965,12,False,11397.59,1.0,0.0
0.2,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2021,conservador,0.883309124714499,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
0.2,2021,neutro,0.7500539790941386,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
0.2,2021,arriesgado,1.0,0.0,0.2545,0.1807,1.4083,0.0962,12,False,11810.34,1.0,0.0
0.2,2021,muy_arriesgado,1.0,0.0,0.1588,0.2422,0.6557,0.1585,12,False,11553.26,1.0,0.0
0.2,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2022,conservador,0.9998663811853665,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
0.2,2022,neutro,0.3461221464588984,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
0.2,2022,arriesgado,0.9490444489245539,0.0,-0.0286,0.1401,-0.2044,0.1661,12,False,9547.72,0.9167,0.0003
0.2,2022,muy_arriesgado,0.9993901982463509,0.0,-0.029,0.1642,-0.1764,0.1777,12,False,9399.09,1.0,0.0
0.2,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2023,conservador,1.6763291673128164e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
0.2,2023,neutro,0.003004294361371116,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
0.2,2023,arriesgado,0.524955251442665,0.0,0.0664,0.0913,0.7277,0.0422,12,False,10113.99,0.5,0.0018
0.2,2023,muy_arriesgado,0.91770828838047,0.0,0.0646,0.1329,0.4861,0.0678,12,False,10177.3,0.9167,0.0001
0.2,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2024,conservador,0.9846163749431649,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
0.2,2024,neutro,0.6790033342531839,0.0,0.2812,0.1003,2.8026,0.0331,12,False,11438.75,0.75,0.0008
0.2,2024,arriesgado,0.9590243131252566,0.0,0.2433,0.1487,1.636,0.0504,12,False,12401.44,0.9167,0.0002
0.2,2024,muy_arriesgado,0.9999999999763896,0.0,0.2411,0.1969,1.2243,0.0761,12,False,12960.56,1.0,0.0
