modelo,use_bl,bl_method,conf_base,lookback,skip,train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,arriesgado,0.6273803019285177,0.0,0.2702,0.1022,2.6429,0.0379,12,False,11798.84,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2024,muy_arriesgado,0.7338943971464817,0.0,0.2943,0.1391,2.1159,0.0482,12,False,12215.71,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,conservador,0.9792290161047728,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,neutro,0.5041747260098487,0.0,0.23,0.0742,3.0995,0.0324,12,False,11392.52,0.5,0.0016
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,arriesgado,0.7825455322658156,0.0,0.1387,0.1101,1.2597,0.0827,12,False,10739.5,0.8333,0.0003
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05,2025,muy_arriesgado,0.7191736970756609,0.0,0.2865,0.1583,1.8099,0.1056,12,False,11364.69,0.6667,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,conservador,0.2997955636898816,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,neutro,0.5747409897302757,0.0,0.1368,0.0513,2.6661,0.0257,12,False,11139.27,0.5833,0.0027
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,arriesgado,0.5710037657093829,0.0,0.0922,0.0842,1.0955,0.0607,12,False,11517.73,0.5,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2019,muy_arriesgado,0.4905289774346974,0.0,0.1192,0.095,1.2549,0.0929,12,False,11905.68,0.5,0.0045
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,conservador,0.999990904533432,0.4990894757819538,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,neutro,0.941521840003742,0.3333290466800673,-0.6627,0.3773,-1.7564,0.2626,3,True,2304.9,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,arriesgado,0.6793166451817488,0.0,0.54,0.3422,1.5784,0.2506,12,False,11712.04,0.6667,0.0008
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2020,muy_arriesgado,0.79827200487823,0.0,0.5305,0.2975,1.783,0.2405,12,False,11816.96,0.8333,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,conservador,0.9999999999958556,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,neutro,0.9958602798795578,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,arriesgado,0.975251337066306,0.0,0.2178,0.1559,1.3968,0.0849,12,False,11594.64,0.9167,0.0001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2021,muy_arriesgado,0.9818610832881364,0.0,0.1659,0.2012,0.8247,0.1115,12,False,11704.28,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,conservador,0.9962790178198908,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,neutro,0.1899035555970652,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,arriesgado,0.2465271861956572,0.0,-0.0885,0.1708,-0.518,0.2187,12,False,8690.45,0.25,0.0082
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2022,muy_arriesgado,0.2498206030486783,0.0,-0.1352,0.2222,-0.6086,0.2894,12,False,8110.2,0.25,0.0075
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,conservador,0.9886020293043718,0.1211990769299945,-0.1016,0.0544,-1.8687,0.0543,5,True,4502.57,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,neutro,0.5322686893287546,0.0,0.1492,0.1674,0.8912,0.0809,12,False,11238.56,0.5,0.0014
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,arriesgado,0.0766712694525723,0.0,0.1943,0.1265,1.5359,0.0539,12,False,10579.41,0.0833,0.0038
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2023,muy_arriesgado,0.2797444195517074,0.0,0.2167,0.1275,1.6996,0.0774,12,False,11265.46,0.3333,0.001
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,conservador,0.9999993076254668,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,neutro,0.9863453356988586,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,arriesgado,0.6667425750477579,0.0,0.2876,0.1023,2.8121,0.0434,12,False,12036.42,0.6667,0.0005
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2024,muy_arriesgado,0.8095304274905768,0.0,0.3202,0.1319,2.428,0.0553,12,False,12581.82,0.75,0.0003
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,conservador,0.9792290161047728,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,neutro,0.5054871487926963,0.0,0.23,0.0742,3.0995,0.0324,12,False,11392.52,0.5,0.0016
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,arriesgado,0.8458902906490078,0.0,0.1157,0.1239,0.934,0.0907,12,False,10687.82,0.8333,0.0003
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1,2025,muy_arriesgado,0.7476451262790361,0.0,0.2332,0.1532,1.5225,0.1088,12,False,11305.02,0.6667,0.0011
hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.15,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
