train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.15,2024,arriesgado,0.9998570917156541,0.0,0.2651,0.128,2.0716,0.0327,12,False,12436.47,1.0,0.0
5,0.15,2024,muy_arriesgado,0.9999999999999677,0.0,0.2855,0.1712,1.6673,0.0508,12,False,13086.39,1.0,0.0
5,0.15,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.15,2025,neutro,0.4557658555303814,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.3333,0.0025
5,0.15,2025,arriesgado,1.0,0.0,-0.0399,0.1343,-0.2972,0.1449,12,False,10022.31,1.0,0.0
5,0.15,2025,muy_arriesgado,0.9999999999999999,0.0,-0.0929,0.1894,-0.4904,0.2056,12,False,9455.62,1.0,0.0
5,0.2,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.2,2019,neutro,0.9617076719373103,0.0,0.1707,0.0624,2.7336,0.0226,12,False,11290.15,0.9167,0.0002
5,0.2,2019,arriesgado,0.999999934805806,0.0,0.2129,0.1423,1.4963,0.1008,12,False,12162.31,1.0,0.0
5,0.2,2019,muy_arriesgado,0.9999999920677504,0.0,0.2425,0.2102,1.1535,0.1728,12,False,12796.54,1.0,0.0
5,0.2,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.2,2020,neutro,0.9999999822554256,0.3333169485561715,-0.6478,0.2738,-2.3662,0.2492,3,True,2290.28,1.0,0.0
5,0.2,2020,arriesgado,0.9757732407739638,0.0,0.2607,0.2773,0.94,0.2246,12,False,10399.37,1.0,0.0
5,0.2,2020,muy_arriesgado,0.9998873554493176,0.0,0.5084,0.3223,1.5775,0.1951,12,False,11341.85,1.0,0.0
5,0.2,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.2,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.2,2021,arriesgado,1.0,0.0,0.2174,0.1789,1.2153,0.0979,12,False,11633.77,1.0,0.0
5,0.2,2021,muy_arriesgado,1.0,0.0,0.1269,0.2363,0.5369,0.1547,12,False,11402.23,1.0,0.0
5,0.2,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.2,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.2,2022,arriesgado,0.9985485879715594,0.0,-0.0215,0.1422,-0.1511,0.1647,12,False,9534.38,1.0,0.0
5,0.2,2022,muy_arriesgado,0.9999561280516991,0.0,-0.0396,0.1759,-0.2251,0.1894,12,False,9338.75,1.0,0.0
5,0.2,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.2,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.2,2023,arriesgado,0.7328990769250402,0.0,0.0453,0.0914,0.4954,0.0477,12,False,10065.34,0.6667,0.0005
5,0.2,2023,muy_arriesgado,0.9368655717981489,0.0,0.0292,0.1266,0.231,0.0703,12,False,10009.16,1.0,0.0
5,0.2,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.2,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
5,0.2,2024,arriesgado,0.9998570258933133,0.0,0.2684,0.1288,2.0844,0.0325,12,False,12452.43,1.0,0.0
5,0.2,2024,muy_arriesgado,0.9999999999999929,0.0,0.2912,0.1826,1.5949,0.0512,12,False,13134.59,1.0,0.0
5,0.2,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.2,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.2,2025,neutro,0.45579293759246586,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.3333,0.0025
5,0.2,2025,arriesgado,1.0,0.0,-0.0608,0.1423,-0.4271,0.1551,12,False,9991.59,1.0,0.0
5,0.2,2025,muy_arriesgado,1.0,0.0,-0.1401,0.2019,-0.694,0.2165,12,False,9305.47,1.0,0.0
