modelo,max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,frecuencia_rebalanceo_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
delta_hybrid_minus_sin_bl,0.1,arriesgado,0.019214285714285767,-0.05049999999999999,0.0020714285714285713,0.0,0.0,-0.41793411215961696,-0.4404714285714285,0.0,-0.0011110000000000009,-0.0022140000000000007,-0.008216999999999999,0.0,31.0,0.01873407142857149
delta_hybrid_minus_sin_bl,0.1,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.1,muy_arriesgado,-0.02074285714285712,-0.07669999999999999,0.0023428571428571465,0.0,0.0,-0.3774420545681313,-0.3809571428571429,0.0,-0.0003280000000000019,-0.002811999999999995,-0.009226999999999999,-0.013900000000000023,-11.319999999999993,-0.021750285714285722
delta_hybrid_minus_sin_bl,0.1,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.1,neutro,-0.013399999999999988,-0.028999999999999998,0.004642857142857115,0.0,-8.858965623521897e-05,-0.31601354025156103,-0.3016,0.0,0.0006499999999999978,4.099999999999937e-05,-0.003091,-0.027800000000000047,12.300000000000011,-0.016046428571428545
delta_hybrid_minus_sin_bl,0.15,arriesgado,0.011528571428571416,-0.05479999999999999,0.005485714285714274,0.0,0.0,-0.41387570196721446,-0.41665714285714284,0.0,1.9999999999950613e-06,-0.0011639999999999984,-0.007359000000000001,-0.04169999999999996,20.779999999999973,0.00878471428571427
delta_hybrid_minus_sin_bl,0.15,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.15,muy_arriesgado,-0.03195714285714285,-0.0932,0.007057142857142873,0.0,0.0,-0.36991051839309763,-0.3809571428571429,0.0,-2.1999999999994246e-05,-0.0020659999999999984,-0.008916,-0.013899999999999912,18.47,-0.035474714285714276
delta_hybrid_minus_sin_bl,0.15,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.15,neutro,-0.013328571428571426,-0.028600000000000014,0.004585714285714276,0.0,-8.889384734388217e-05,-0.31599060484026076,-0.3016,0.0,0.0006519999999999998,6.0999999999998555e-05,-0.0031010000000000005,-0.027800000000000047,10.430000000000007,-0.01594742857142857
delta_hybrid_minus_sin_bl,0.2,arriesgado,0.009685714285714297,-0.06029999999999999,0.006214285714285714,0.0,0.0,-0.41254357652529305,-0.41665714285714284,0.0,2.5999999999998247e-05,-0.0011639999999999984,-0.0073030000000000005,-0.0695,17.180000000000007,0.0065655714285714345
delta_hybrid_minus_sin_bl,0.2,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.2,muy_arriesgado,-0.03770000000000004,-0.08459999999999998,0.009971428571428548,0.0,0.0,-0.3680312901098093,-0.3809571428571429,0.0,0.00043500000000000483,-0.0017149999999999943,-0.008940000000000002,-0.013900000000000023,26.28,-0.042903214285714295
delta_hybrid_minus_sin_bl,0.2,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.2,neutro,-0.013500000000000005,-0.028999999999999998,0.004642857142857129,0.0,-8.882532031465051e-05,-0.31600698823162465,-0.3016,0.0,0.0006589999999999999,7.299999999999668e-05,-0.0031,-0.027800000000000047,15.189999999999998,-0.016150928571428566
